True phone,Predicted phone
dh,"[('dh', 28), ('v', 16), ('dcl', 12), ('tcl', 9), ('n', 8)]"
sh,"[('sh', 59), ('jh', 12), ('ch', 9), ('tcl', 8), ('t', 6)]"
q,"[('l', 26), ('k', 21), ('ao', 12), ('aa', 7), ('hh', 6)]"
ux,"[('n', 19), ('ix', 12), ('dx', 10), ('m', 8), ('dh', 6)]"
tcl,"[('s', 49), ('tcl', 18), ('z', 12), ('sh', 7), ('dcl', 5)]"
eh,"[('ae', 28), ('eh', 18), ('ix', 11), ('aa', 6), ('ah', 5)]"
t,"[('t', 49), ('s', 16), ('d', 9), ('sh', 6), ('z', 5)]"
k,"[('k', 64), ('g', 25), ('kcl', 5), ('p', 2), ('dx', 1)]"
m,"[('n', 51), ('m', 19), ('dx', 7), ('nx', 5), ('dcl', 5)]"
s,"[('s', 68), ('z', 23), ('tcl', 6), ('t', 1), ('ch', 1)]"
em,"[('m', 32), ('n', 31), ('dcl', 6), ('bcl', 5), ('en', 4)]"
w,"[('w', 28), ('ao', 11), ('l', 9), ('ax', 8), ('r', 6)]"
ah,"[('aa', 17), ('ow', 15), ('ax', 15), ('l', 15), ('ah', 14)]"
pcl,"[('pcl', 55), ('tcl', 29), ('kcl', 10), ('dcl', 3), ('gcl', 1)]"
ax,"[('ax', 26), ('ix', 16), ('ih', 13), ('dx', 10), ('l', 5)]"
ix,"[('ay', 16), ('ix', 15), ('eh', 13), ('ae', 13), ('ah', 10)]"
nx,"[('v', 13), ('m', 13), ('n', 11), ('dcl', 11), ('dh', 9)]"
tcl,"[('w', 79), ('l', 4), ('v', 4), ('b', 3), ('bcl', 2)]"
tcl,"[('pcl', 28), ('tcl', 26), ('dcl', 15), ('kcl', 7), ('v', 7)]"
k,"[('p', 42), ('b', 28), ('f', 10), ('dh', 7), ('v', 3)]"
iy,"[('iy', 44), ('ih', 14), ('ux', 13), ('ey', 11), ('ix', 10)]"
pcl,"[('pcl', 24), ('f', 21), ('tcl', 20), ('kcl', 18), ('bcl', 9)]"
dh,"[('f', 45), ('dh', 14), ('th', 8), ('p', 6), ('tcl', 5)]"
ax,"[('ax', 23), ('ah', 19), ('ix', 13), ('l', 9), ('ih', 7)]"
k,"[('k', 34), ('kcl', 15), ('dh', 13), ('p', 9), ('t', 7)]"
m,"[('dcl', 14), ('p', 14), ('b', 9), ('dh', 9), ('bcl', 8)]"
dx,"[('d', 20), ('jh', 20), ('dcl', 17), ('z', 10), ('zh', 8)]"
q,"[('ao', 23), ('aa', 19), ('l', 15), ('p', 11), ('q', 11)]"
kcl,"[('kcl', 38), ('pcl', 32), ('tcl', 22), ('f', 3), ('dcl', 2)]"
s,"[('s', 74), ('z', 22), ('tcl', 2), ('p', 1), ('t', 1)]"
t,"[('d', 37), ('t', 21), ('p', 9), ('s', 8), ('tcl', 8)]"
dcl,"[('pcl', 69), ('tcl', 15), ('kcl', 6), ('th', 3), ('dcl', 2)]"
eh,"[('ay', 39), ('ah', 13), ('eh', 8), ('oy', 7), ('l', 6)]"
ow,"[('ax', 22), ('ow', 16), ('ah', 11), ('eh', 9), ('v', 7)]"
ax-h,"[('iy', 16), ('ix', 14), ('dx', 11), ('g', 10), ('t', 7)]"
ae,"[('ae', 50), ('eh', 14), ('ay', 13), ('ow', 3), ('ah', 3)]"
g,"[('iy', 30), ('ix', 12), ('dx', 8), ('g', 8), ('y', 7)]"
g,"[('r', 25), ('g', 12), ('v', 11), ('axr', 11), ('dx', 8)]"
ao,"[('ao', 45), ('w', 19), ('ax', 7), ('aa', 7), ('l', 5)]"
er,"[('r', 35), ('axr', 14), ('aa', 13), ('dx', 9), ('ax', 7)]"
t,"[('t', 40), ('d', 17), ('s', 15), ('z', 7), ('jh', 5)]"
ix,"[('ix', 26), ('n', 17), ('m', 15), ('ax', 10), ('ih', 5)]"
ay,"[('aa', 26), ('ay', 21), ('ah', 16), ('aw', 9), ('ae', 6)]"
ao,"[('aa', 25), ('ae', 19), ('ao', 16), ('aw', 7), ('ah', 7)]"
s,"[('s', 41), ('sh', 20), ('f', 11), ('t', 10), ('z', 3)]"
ix,"[('ix', 28), ('ih', 28), ('eh', 7), ('ax', 6), ('d', 4)]"
ix,"[('ix', 27), ('ae', 22), ('eh', 16), ('ih', 16), ('ax', 4)]"
y,"[('iy', 52), ('y', 23), ('ix', 8), ('ux', 7), ('ih', 3)]"
bcl,"[('bcl', 54), ('dcl', 25), ('gcl', 10), ('tcl', 8), ('pcl', 2)]"
iy,"[('iy', 56), ('y', 13), ('ih', 11), ('ix', 10), ('ux', 9)]"
ao,"[('l', 33), ('ao', 29), ('w', 11), ('el', 10), ('aa', 7)]"
eh,"[('ao', 20), ('l', 16), ('aa', 12), ('ax', 10), ('ah', 9)]"
ix,"[('hv', 35), ('n', 15), ('eh', 6), ('ix', 6), ('q', 4)]"
axr,"[('r', 32), ('axr', 22), ('er', 18), ('dx', 12), ('eh', 4)]"
r,"[('r', 40), ('er', 10), ('aa', 9), ('ay', 8), ('axr', 7)]"
iy,"[('iy', 19), ('hv', 11), ('hh', 9), ('z', 9), ('dcl', 7)]"
ey,"[('iy', 20), ('ey', 18), ('l', 12), ('ix', 11), ('ih', 9)]"
tcl,"[('pcl', 42), ('tcl', 27), ('kcl', 19), ('dcl', 5), ('bcl', 3)]"
l,"[('v', 25), ('l', 15), ('w', 14), ('b', 13), ('n', 5)]"
er,"[('r', 22), ('ix', 17), ('eh', 14), ('ae', 9), ('ih', 8)]"
k,"[('k', 48), ('g', 16), ('p', 10), ('kcl', 10), ('hh', 5)]"
dcl,"[('tcl', 32), ('dcl', 20), ('pcl', 13), ('gcl', 10), ('v', 10)]"
dcl,"[('dcl', 76), ('tcl', 9), ('bcl', 8), ('gcl', 6), ('kcl', 1)]"
ax,"[('ax', 22), ('ix', 15), ('ow', 11), ('ah', 10), ('l', 5)]"
axr,"[('axr', 34), ('r', 27), ('dx', 12), ('er', 10), ('v', 3)]"
ay,"[('ay', 26), ('eh', 19), ('ae', 16), ('ah', 7), ('ey', 6)]"
w,"[('w', 92), ('bcl', 3), ('ng', 1), ('axr', 1), ('m', 1)]"
p,"[('b', 35), ('p', 15), ('v', 8), ('dh', 7), ('d', 6)]"
ix,"[('r', 21), ('axr', 17), ('ae', 12), ('eh', 10), ('er', 7)]"
m,"[('v', 35), ('dh', 14), ('dx', 11), ('b', 10), ('m', 6)]"
eh,"[('eh', 23), ('ae', 22), ('ix', 15), ('ih', 15), ('ey', 8)]"
k,"[('p', 45), ('hh', 10), ('t', 9), ('b', 8), ('f', 8)]"
iy,"[('iy', 63), ('y', 17), ('ix', 8), ('ux', 7), ('ih', 3)]"
s,"[('s', 78), ('z', 15), ('tcl', 3), ('ch', 2), ('d', 1)]"
k,"[('s', 46), ('k', 23), ('z', 7), ('kcl', 6), ('t', 5)]"
ow,"[('ix', 37), ('axr', 7), ('ih', 6), ('l', 6), ('ae', 5)]"
tcl,"[('dcl', 33), ('tcl', 24), ('bcl', 21), ('pcl', 15), ('gcl', 3)]"
s,"[('s', 78), ('z', 13), ('t', 5), ('tcl', 1), ('th', 1)]"
kcl,"[('pcl', 41), ('tcl', 27), ('kcl', 10), ('bcl', 9), ('dcl', 6)]"
kcl,"[('kcl', 51), ('k', 15), ('tcl', 7), ('dcl', 5), ('g', 4)]"
ae,"[('ae', 52), ('eh', 23), ('r', 9), ('ix', 4), ('axr', 4)]"
l,"[('r', 20), ('dx', 9), ('ae', 9), ('eh', 8), ('ix', 8)]"
axr,"[('eh', 20), ('ix', 15), ('er', 13), ('ih', 11), ('axr', 10)]"
ax,"[('l', 28), ('ax', 14), ('ow', 12), ('ah', 9), ('w', 6)]"
axr,"[('ih', 22), ('axr', 16), ('er', 14), ('r', 14), ('eh', 13)]"
q,"[('ey', 21), ('ix', 16), ('eh', 12), ('ih', 11), ('q', 7)]"
t,"[('t', 61), ('f', 19), ('k', 6), ('d', 6), ('hh', 2)]"
ow,"[('l', 32), ('ax', 16), ('ao', 13), ('ow', 10), ('ah', 10)]"
ey,"[('ih', 21), ('ix', 18), ('eh', 17), ('ey', 13), ('ae', 8)]"
m,"[('m', 49), ('n', 25), ('ng', 11), ('nx', 4), ('r', 2)]"
k,"[('k', 32), ('t', 25), ('d', 15), ('s', 15), ('z', 3)]"
aa,"[('aa', 40), ('ao', 27), ('r', 21), ('ah', 3), ('q', 2)]"
ch,"[('sh', 30), ('jh', 22), ('ch', 19), ('t', 10), ('s', 6)]"
bcl,"[('bcl', 85), ('dcl', 11), ('pcl', 2), ('v', 1), ('dx', 1)]"
axr,"[('r', 47), ('axr', 26), ('er', 21), ('q', 1), ('v', 1)]"
ae,"[('eh', 20), ('ae', 15), ('ix', 14), ('ah', 13), ('ax', 11)]"
iy,"[('iy', 71), ('ix', 10), ('ux', 4), ('ih', 4), ('y', 4)]"
r,"[('r', 40), ('aa', 26), ('axr', 8), ('ay', 5), ('er', 4)]"
sh,"[('sh', 61), ('s', 15), ('jh', 10), ('ch', 6), ('z', 4)]"
ch,"[('s', 54), ('z', 19), ('sh', 13), ('ch', 8), ('jh', 4)]"
ih,"[('ih', 27), ('ix', 20), ('ax', 16), ('eh', 5), ('dx', 5)]"
d,"[('iy', 28), ('y', 18), ('dx', 12), ('d', 11), ('jh', 6)]"
aa,"[('r', 31), ('aa', 29), ('ao', 14), ('ay', 7), ('q', 3)]"
aw,"[('ae', 73), ('aa', 8), ('eh', 7), ('ay', 4), ('ix', 2)]"
ix,"[('ix', 23), ('r', 15), ('ih', 13), ('iy', 6), ('axr', 6)]"
t,"[('t', 30), ('sh', 19), ('s', 13), ('d', 9), ('jh', 9)]"
nx,"[('ax', 21), ('aa', 11), ('l', 10), ('ah', 7), ('n', 6)]"
tcl,"[('dcl', 28), ('bcl', 22), ('gcl', 19), ('tcl', 12), ('n', 8)]"
ix,"[('dx', 25), ('ix', 25), ('d', 11), ('ih', 9), ('b', 7)]"
ix,"[('ix', 14), ('b', 11), ('d', 9), ('n', 8), ('eh', 8)]"
r,"[('r', 20), ('ix', 19), ('ih', 10), ('n', 7), ('m', 7)]"
r,"[('dx', 36), ('r', 23), ('ix', 13), ('axr', 5), ('ih', 3)]"
ix,"[('eh', 20), ('ih', 17), ('ix', 16), ('ae', 15), ('ax', 5)]"
er,"[('axr', 36), ('er', 25), ('r', 24), ('v', 7), ('dx', 4)]"
ih,"[('ae', 43), ('ix', 17), ('eh', 12), ('ih', 7), ('ey', 5)]"
ey,"[('ey', 30), ('ix', 16), ('iy', 15), ('ih', 14), ('eh', 6)]"
dx,"[('ix', 39), ('dx', 14), ('ih', 9), ('ux', 6), ('v', 5)]"
eh,"[('eh', 27), ('r', 18), ('ae', 17), ('axr', 14), ('er', 9)]"
t,"[('t', 46), ('sh', 11), ('k', 9), ('f', 9), ('d', 7)]"
eh,"[('eh', 24), ('ae', 22), ('ix', 18), ('ih', 14), ('ah', 4)]"
ix,"[('ae', 37), ('eh', 20), ('ix', 19), ('ih', 7), ('ey', 6)]"
l,"[('l', 52), ('ax', 7), ('b', 7), ('el', 7), ('w', 5)]"
tcl,"[('pcl', 39), ('kcl', 25), ('tcl', 22), ('gcl', 5), ('dcl', 4)]"
iy,"[('iy', 60), ('ih', 12), ('y', 10), ('q', 4), ('ix', 4)]"
dcl,"[('dcl', 47), ('d', 9), ('y', 9), ('dx', 7), ('jh', 7)]"
ih,"[('ih', 36), ('ix', 21), ('iy', 16), ('ey', 10), ('eh', 5)]"
tcl,"[('pcl', 40), ('kcl', 33), ('tcl', 21), ('f', 3), ('bcl', 2)]"
dh,"[('t', 27), ('dh', 26), ('d', 16), ('k', 7), ('kcl', 4)]"
ix,"[('ix', 38), ('ih', 17), ('dh', 8), ('eh', 5), ('ax', 4)]"
ae,"[('hv', 21), ('ae', 15), ('ih', 12), ('ix', 11), ('q', 8)]"
ix,"[('ih', 27), ('ix', 22), ('ux', 10), ('r', 7), ('axr', 7)]"
r,"[('r', 59), ('er', 19), ('axr', 18), ('aa', 2), ('dx', 1)]"
ey,"[('ae', 21), ('eh', 21), ('ix', 15), ('ey', 12), ('ih', 5)]"
sh,"[('sh', 62), ('ch', 14), ('jh', 11), ('tcl', 5), ('zh', 4)]"
eh,"[('axr', 34), ('r', 27), ('er', 19), ('dx', 7), ('eh', 7)]"
b,"[('b', 32), ('v', 12), ('dh', 11), ('n', 8), ('dx', 7)]"
pcl,"[('p', 41), ('d', 12), ('k', 9), ('b', 8), ('t', 6)]"
r,"[('r', 42), ('axr', 33), ('er', 12), ('ix', 6), ('eh', 2)]"
n,"[('ix', 26), ('ih', 12), ('dx', 12), ('ux', 11), ('r', 6)]"
iy,"[('iy', 60), ('y', 13), ('ih', 11), ('ux', 7), ('ix', 4)]"
r,"[('aa', 38), ('r', 30), ('ay', 8), ('ae', 7), ('q', 3)]"
z,"[('jh', 29), ('d', 23), ('zh', 6), ('z', 6), ('t', 5)]"
bcl,"[('pcl', 39), ('tcl', 29), ('kcl', 24), ('bcl', 4), ('gcl', 3)]"
k,"[('kcl', 14), ('dh', 13), ('b', 11), ('tcl', 8), ('pcl', 6)]"
ix,"[('ix', 30), ('ih', 18), ('dx', 9), ('ax', 8), ('eh', 5)]"
q,"[('aa', 33), ('ay', 18), ('k', 13), ('ao', 10), ('r', 8)]"
ih,"[('ih', 28), ('ix', 23), ('eh', 20), ('ux', 6), ('axr', 4)]"
w,"[('w', 32), ('b', 20), ('l', 12), ('v', 9), ('ax', 7)]"
ix,"[('iy', 29), ('ix', 24), ('ey', 17), ('ih', 14), ('dx', 4)]"
r,"[('r', 46), ('axr', 28), ('er', 10), ('ih', 6), ('ix', 3)]"
el,"[('ax', 27), ('l', 12), ('ah', 11), ('ow', 9), ('ix', 6)]"
m,"[('v', 21), ('bcl', 12), ('m', 11), ('dh', 11), ('dcl', 11)]"
tcl,"[('pcl', 35), ('tcl', 33), ('kcl', 18), ('dcl', 5), ('bcl', 4)]"
f,"[('f', 75), ('b', 7), ('p', 5), ('v', 4), ('th', 3)]"
ix,"[('iy', 36), ('ix', 20), ('ih', 15), ('ey', 7), ('ux', 4)]"
er,"[('axr', 50), ('r', 21), ('er', 16), ('dx', 9), ('q', 2)]"
dh,"[('v', 30), ('dh', 22), ('tcl', 14), ('pcl', 8), ('dcl', 7)]"
l,"[('l', 53), ('ax', 11), ('q', 5), ('el', 4), ('r', 4)]"
ix,"[('iy', 51), ('ih', 17), ('ix', 14), ('y', 10), ('ux', 2)]"
r,"[('r', 46), ('er', 26), ('axr', 24), ('dx', 2), ('ah', 1)]"
d,"[('ix', 22), ('dx', 17), ('b', 14), ('ih', 12), ('v', 11)]"
eh,"[('eh', 24), ('ih', 22), ('ix', 13), ('ey', 13), ('ae', 10)]"
tcl,"[('kcl', 34), ('tcl', 26), ('dcl', 12), ('pcl', 11), ('gcl', 6)]"
en,"[('dh', 24), ('z', 24), ('n', 9), ('ix', 8), ('d', 7)]"
eh,"[('eh', 22), ('ix', 18), ('b', 9), ('ih', 9), ('ax', 8)]"
ao,"[('w', 47), ('ao', 23), ('l', 8), ('el', 7), ('r', 5)]"
n,"[('n', 52), ('m', 17), ('ng', 14), ('en', 6), ('gcl', 4)]"
l,"[('l', 31), ('v', 17), ('b', 12), ('n', 8), ('bcl', 7)]"
tcl,"[('f', 66), ('t', 9), ('d', 6), ('p', 4), ('v', 4)]"
n,"[('n', 33), ('m', 23), ('gcl', 10), ('ng', 9), ('dcl', 5)]"
dh,"[('dh', 12), ('gcl', 11), ('n', 10), ('ix', 9), ('v', 8)]"
r,"[('r', 50), ('er', 16), ('axr', 11), ('ae', 8), ('ay', 7)]"
dcl,"[('dcl', 71), ('tcl', 10), ('dx', 7), ('bcl', 5), ('gcl', 4)]"
k,"[('k', 47), ('p', 9), ('g', 6), ('b', 5), ('hh', 4)]"
ay,"[('ay', 75), ('ae', 8), ('ix', 5), ('oy', 2), ('r', 2)]"
th,"[('f', 65), ('s', 16), ('th', 4), ('t', 4), ('v', 3)]"
d,"[('dx', 19), ('ix', 17), ('ux', 10), ('ih', 8), ('iy', 5)]"
w,"[('ix', 35), ('ax', 13), ('ih', 6), ('m', 6), ('l', 6)]"
en,"[('n', 54), ('ng', 10), ('en', 9), ('m', 8), ('ux', 5)]"
pcl,"[('dcl', 34), ('tcl', 27), ('pcl', 22), ('bcl', 8), ('gcl', 7)]"
t,"[('f', 55), ('t', 20), ('p', 12), ('b', 4), ('k', 2)]"
bcl,"[('bcl', 77), ('dcl', 17), ('gcl', 3), ('tcl', 1), ('m', 1)]"
dx,"[('iy', 37), ('y', 15), ('ix', 13), ('ux', 12), ('n', 4)]"
bcl,"[('pcl', 56), ('tcl', 25), ('kcl', 15), ('dcl', 2), ('gcl', 1)]"
nx,"[('ix', 34), ('eh', 16), ('ih', 13), ('ae', 8), ('dx', 8)]"
r,"[('r', 44), ('axr', 10), ('dx', 8), ('ih', 6), ('iy', 5)]"
axr,"[('axr', 24), ('eh', 16), ('ih', 16), ('ix', 10), ('iy', 7)]"
bcl,"[('bcl', 74), ('dcl', 15), ('n', 4), ('tcl', 2), ('m', 1)]"
s,"[('sh', 44), ('s', 17), ('tcl', 10), ('z', 6), ('jh', 5)]"
kcl,"[('f', 24), ('k', 13), ('kcl', 12), ('tcl', 12), ('t', 6)]"
n,"[('n', 25), ('ix', 24), ('ih', 8), ('dx', 7), ('b', 6)]"
v,"[('v', 56), ('dh', 8), ('pcl', 6), ('b', 6), ('bcl', 5)]"
q,"[('ix', 26), ('dx', 14), ('ih', 13), ('eh', 9), ('r', 5)]"
iy,"[('iy', 56), ('ix', 17), ('ey', 10), ('ih', 6), ('w', 3)]"
r,"[('r', 47), ('axr', 21), ('ix', 7), ('dx', 6), ('ih', 6)]"
k,"[('k', 64), ('p', 9), ('g', 7), ('dh', 6), ('t', 3)]"
t,"[('t', 29), ('f', 29), ('s', 13), ('th', 9), ('d', 7)]"
f,"[('f', 68), ('tcl', 11), ('kcl', 7), ('pcl', 4), ('th', 3)]"
gcl,"[('kcl', 35), ('pcl', 28), ('tcl', 25), ('f', 4), ('dcl', 2)]"
tcl,"[('pcl', 56), ('tcl', 27), ('kcl', 9), ('dcl', 4), ('bcl', 3)]"
d,"[('ix', 17), ('dx', 13), ('d', 12), ('ih', 10), ('b', 10)]"
dx,"[('v', 17), ('b', 17), ('dx', 12), ('dh', 11), ('ix', 10)]"
b,"[('b', 40), ('l', 11), ('p', 9), ('v', 6), ('w', 5)]"
axr,"[('axr', 41), ('r', 27), ('er', 12), ('g', 3), ('ao', 3)]"
iy,"[('iy', 53), ('y', 34), ('ix', 5), ('dx', 2), ('ih', 1)]"
m,"[('n', 55), ('dcl', 15), ('m', 9), ('gcl', 5), ('en', 4)]"
s,"[('s', 74), ('z', 22), ('sh', 2), ('th', 1), ('zh', 1)]"
g,"[('s', 55), ('z', 31), ('p', 4), ('ch', 3), ('t', 2)]"
tcl,"[('kcl', 49), ('tcl', 26), ('f', 7), ('dcl', 6), ('sh', 4)]"
aa,"[('aa', 47), ('r', 26), ('ao', 8), ('axr', 6), ('er', 3)]"
gcl,"[('n', 25), ('gcl', 20), ('m', 17), ('dcl', 11), ('bcl', 8)]"
ey,"[('ae', 29), ('p', 14), ('ey', 11), ('k', 6), ('eh', 6)]"
n,"[('b', 14), ('v', 12), ('n', 11), ('dh', 10), ('m', 8)]"
iy,"[('ix', 27), ('iy', 26), ('ih', 15), ('ey', 9), ('q', 4)]"
uh,"[('ix', 18), ('ax', 12), ('ih', 11), ('ah', 9), ('uh', 7)]"
l,"[('l', 44), ('w', 27), ('el', 9), ('ao', 5), ('ow', 4)]"
kcl,"[('kcl', 42), ('tcl', 24), ('pcl', 14), ('f', 8), ('bcl', 4)]"
kcl,"[('pcl', 55), ('tcl', 23), ('kcl', 15), ('dcl', 3), ('bcl', 2)]"
z,"[('s', 74), ('z', 13), ('tcl', 4), ('sh', 2), ('ch', 2)]"
n,"[('ix', 28), ('n', 12), ('m', 10), ('ih', 9), ('ax', 6)]"
iy,"[('iy', 59), ('hv', 14), ('ix', 9), ('y', 6), ('n', 2)]"
m,"[('m', 61), ('n', 9), ('w', 8), ('ng', 4), ('bcl', 4)]"
iy,"[('iy', 60), ('ih', 14), ('ix', 9), ('y', 8), ('ux', 6)]"
l,"[('w', 42), ('l', 12), ('oy', 10), ('el', 7), ('ow', 5)]"
iy,"[('ux', 28), ('ih', 20), ('ix', 20), ('iy', 9), ('ey', 5)]"
ae,"[('ae', 43), ('ay', 15), ('aw', 12), ('ah', 10), ('aa', 9)]"
b,"[('b', 39), ('p', 17), ('dh', 11), ('v', 9), ('dx', 4)]"
dcl,"[('tcl', 28), ('kcl', 20), ('pcl', 18), ('gcl', 12), ('dcl', 12)]"
w,"[('w', 86), ('l', 4), ('ao', 4), ('bcl', 2), ('ax', 1)]"
p,"[('b', 48), ('p', 25), ('dh', 9), ('v', 5), ('d', 4)]"
hh,"[('k', 22), ('d', 16), ('t', 15), ('dh', 10), ('p', 9)]"
r,"[('ix', 26), ('ux', 18), ('ih', 14), ('y', 11), ('r', 8)]"
dcl,"[('dcl', 16), ('tcl', 16), ('bcl', 15), ('pcl', 13), ('gcl', 11)]"
g,"[('k', 37), ('p', 21), ('b', 8), ('g', 5), ('hh', 5)]"
r,"[('r', 24), ('v', 17), ('m', 16), ('n', 9), ('b', 8)]"
tcl,"[('pcl', 18), ('tcl', 17), ('f', 16), ('kcl', 11), ('v', 9)]"
bcl,"[('bcl', 47), ('dcl', 33), ('gcl', 7), ('n', 3), ('tcl', 3)]"
t,"[('p', 32), ('f', 29), ('t', 25), ('d', 6), ('b', 2)]"
l,"[('l', 45), ('ax', 15), ('w', 9), ('ow', 8), ('b', 5)]"
tcl,"[('tcl', 28), ('kcl', 21), ('dcl', 20), ('pcl', 20), ('gcl', 6)]"
ey,"[('ae', 30), ('ey', 17), ('eh', 17), ('ix', 12), ('ih', 7)]"
sh,"[('sh', 50), ('jh', 17), ('ch', 14), ('s', 10), ('tcl', 5)]"
dx,"[('n', 28), ('ix', 15), ('dx', 12), ('en', 6), ('dcl', 6)]"
l,"[('l', 50), ('ax', 12), ('el', 9), ('w', 8), ('ow', 6)]"
l,"[('l', 51), ('el', 15), ('ax', 8), ('w', 7), ('b', 4)]"
ow,"[('l', 29), ('ax', 19), ('ah', 10), ('ow', 10), ('eh', 8)]"
kcl,"[('pcl', 34), ('kcl', 25), ('tcl', 25), ('f', 6), ('bcl', 5)]"
ix,"[('ix', 29), ('ih', 21), ('iy', 11), ('ux', 10), ('ey', 7)]"
z,"[('z', 47), ('s', 46), ('t', 4), ('sh', 2), ('jh', 1)]"
eh,"[('ix', 21), ('ih', 20), ('axr', 12), ('dx', 11), ('r', 9)]"
ix,"[('ix', 29), ('ih', 23), ('eh', 8), ('ey', 6), ('iy', 5)]"
ux,"[('ix', 24), ('dx', 15), ('iy', 10), ('ih', 8), ('r', 8)]"
v,"[('ix', 30), ('dx', 18), ('v', 10), ('ih', 9), ('iy', 6)]"
tcl,"[('tcl', 48), ('pcl', 15), ('dcl', 12), ('kcl', 11), ('s', 4)]"
q,"[('q', 20), ('ix', 13), ('ih', 11), ('dx', 10), ('iy', 9)]"
eh,"[('ah', 16), ('ax', 15), ('l', 13), ('r', 10), ('aa', 10)]"
n,"[('n', 68), ('ng', 6), ('nx', 4), ('dx', 4), ('en', 4)]"
k,"[('k', 60), ('g', 12), ('p', 11), ('b', 4), ('hh', 3)]"
n,"[('n', 46), ('m', 26), ('nx', 10), ('ng', 9), ('l', 2)]"
t,"[('t', 39), ('s', 22), ('th', 6), ('z', 5), ('tcl', 5)]"
g,"[('p', 24), ('dh', 15), ('k', 14), ('b', 14), ('f', 6)]"
ay,"[('ay', 53), ('ae', 21), ('ah', 7), ('aa', 6), ('aw', 3)]"
tcl,"[('tcl', 43), ('pcl', 17), ('kcl', 14), ('bcl', 8), ('dh', 4)]"
ng,"[('gcl', 22), ('m', 13), ('ix', 12), ('ng', 12), ('n', 8)]"
dh,"[('l', 22), ('ax', 16), ('dh', 11), ('m', 11), ('ix', 10)]"
ae,"[('ae', 37), ('b', 8), ('dh', 8), ('m', 7), ('ax', 4)]"
ah,"[('ao', 29), ('l', 22), ('aa', 20), ('ow', 7), ('ah', 7)]"
d,"[('t', 48), ('d', 28), ('p', 6), ('b', 5), ('hh', 4)]"
k,"[('k', 58), ('g', 12), ('kcl', 5), ('s', 5), ('t', 4)]"
ax,"[('ix', 27), ('dx', 16), ('ih', 9), ('b', 8), ('axr', 8)]"
t,"[('t', 24), ('p', 19), ('k', 19), ('dh', 8), ('b', 7)]"
d,"[('tcl', 26), ('pcl', 14), ('v', 14), ('dcl', 9), ('dh', 9)]"
tcl,"[('pcl', 59), ('tcl', 26), ('kcl', 10), ('bcl', 4), ('dcl', 1)]"
t,"[('t', 37), ('d', 16), ('dh', 11), ('p', 10), ('f', 9)]"
ay,"[('ae', 19), ('r', 19), ('aa', 16), ('ay', 10), ('axr', 9)]"
kcl,"[('tcl', 14), ('dh', 14), ('p', 13), ('pcl', 11), ('f', 10)]"
s,"[('s', 87), ('z', 7), ('tcl', 3), ('sh', 2), ('ch', 1)]"
er,"[('r', 34), ('axr', 27), ('er', 20), ('dx', 10), ('aa', 2)]"
r,"[('r', 32), ('axr', 25), ('er', 19), ('ix', 8), ('eh', 4)]"
r,"[('aa', 38), ('r', 18), ('ao', 14), ('aw', 7), ('l', 5)]"
dcl,"[('tcl', 29), ('pcl', 25), ('kcl', 21), ('dcl', 17), ('gcl', 5)]"
w,"[('w', 71), ('v', 8), ('bcl', 7), ('n', 3), ('b', 3)]"
t,"[('s', 73), ('z', 8), ('tcl', 5), ('t', 5), ('f', 5)]"
en,"[('n', 50), ('m', 26), ('dcl', 6), ('nx', 6), ('ng', 3)]"
n,"[('n', 48), ('nx', 7), ('en', 7), ('dcl', 6), ('m', 6)]"
ih,"[('ey', 22), ('ix', 19), ('ih', 18), ('eh', 14), ('ae', 9)]"
hh,"[('p', 27), ('hh', 25), ('f', 12), ('t', 11), ('d', 7)]"
q,"[('l', 35), ('w', 16), ('ow', 15), ('ao', 15), ('el', 5)]"
s,"[('s', 62), ('z', 38)]"
s,"[('f', 55), ('s', 17), ('th', 13), ('dh', 8), ('z', 2)]"
ao,"[('ao', 44), ('l', 23), ('aa', 7), ('q', 6), ('ow', 5)]"
l,"[('ix', 16), ('ax', 15), ('l', 15), ('ih', 12), ('dx', 7)]"
dcl,"[('bcl', 53), ('dcl', 16), ('n', 7), ('m', 6), ('gcl', 4)]"
ng,"[('n', 21), ('iy', 21), ('m', 17), ('y', 10), ('ng', 5)]"
q,"[('aa', 42), ('ao', 22), ('ah', 9), ('l', 5), ('aw', 4)]"
ah,"[('l', 29), ('w', 14), ('ao', 12), ('ax', 7), ('ah', 6)]"
ah,"[('ae', 23), ('aa', 17), ('aw', 14), ('r', 7), ('ah', 7)]"
ih,"[('iy', 27), ('ih', 23), ('ix', 16), ('y', 14), ('hv', 7)]"
iy,"[('iy', 46), ('ux', 18), ('ix', 10), ('axr', 5), ('y', 5)]"
iy,"[('iy', 42), ('ih', 14), ('ey', 14), ('ix', 9), ('dx', 5)]"
aa,"[('r', 21), ('aa', 19), ('ax', 9), ('ae', 8), ('er', 7)]"
ih,"[('ih', 30), ('ix', 23), ('iy', 21), ('ey', 6), ('eh', 4)]"
tcl,"[('tcl', 58), ('f', 12), ('pcl', 6), ('kcl', 6), ('s', 5)]"
ng,"[('iy', 36), ('ix', 13), ('ng', 9), ('y', 8), ('n', 6)]"
f,"[('f', 91), ('th', 2), ('gcl', 2), ('v', 1), ('ax-h', 1)]"
l,"[('l', 22), ('ao', 18), ('aa', 14), ('ah', 8), ('ow', 6)]"
